genome,length,breadth,coverage,reads,IS_location,GTDB_tax,sample,pairs,rel_ab,tribe,sample_type,domain,phylum,class,order,family,genus,species
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SG_17.18.fa,3568491,0.604514906,2.287631434,58264,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A,AK_SG_10,3815123,0.007635927,Gondia,fecal,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius_A
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SG_17.26.fa,2332021,0.763306591,3.791197024,62261,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans,AK_SG_10,3815123,0.008159763,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia inulinivorans
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SG_17.4.fa,2755955,0.748126149,4.971845015,96322,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis,AK_SG_10,3815123,0.012623708,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Gemmiger,Gemmiger qucibialis
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SG_18.1.fa,1973259,0.797061106,7.045112323,97344,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D,AK_SG_10,3815123,0.012757649,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii_D
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SG_18.3.fa,2350086,0.563978084,2.127413092,35415,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E,AK_SG_10,3815123,0.004641397,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii_E
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SG_2.32.fa,1954533,0.797223685,6.771174684,92353,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945,AK_SG_10,3815123,0.012103542,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium sp900539945
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SG_2.38.fa,2026511,0.531859931,2.295638225,32486,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp003449675,AK_SG_10,3815123,0.00425753,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium sp003449675
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SG_20.5.fa,1560974,0.62298283,3.133496159,33606,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii,AK_SG_10,3815123,0.004404314,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SG_28.4.fa,1366372,0.803482507,4.878445984,45945,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_H,AK_SG_10,3815123,0.006021431,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii_H
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SK_15.10.fa,2103461,0.892178177,17.44545638,255499,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis_A,AK_SG_10,3815123,0.033485028,Gondia,fecal,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Sutterella,Sutterella wadsworthensis_A
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SK_15.19.fa,2224814,0.920845967,10.69234223,167978,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia sp900539625,AK_SG_10,3815123,0.022014755,Gondia,fecal,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp900539625
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SK_32.21.fa,2289696,0.762453182,6.885306896,111137,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G,AK_SG_10,3815123,0.014565323,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii_G
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SK_32.6.fa,2416722,0.52878941,1.54972925,26693,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis,AK_SG_10,3815123,0.003498314,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter faecis
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SK_36.6.fa,2975918,0.860611415,19.19777224,406037,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Segatella;s__Segatella copri,AK_SG_10,3815123,0.053214143,Gondia,fecal,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Segatella,Segatella copri
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SK_40.4.fa,2252507,0.687070451,2.5207194,40720,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp000431835,AK_SG_10,3815123,0.005336656,Gondia,fecal,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Succinivibrionaceae,Succinivibrio,Succinivibrio sp000431835
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SK_47.4.fa,805076,0.644525486,3.628130638,19720,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Hallella;s__Hallella sp002300055,AK_SG_10,3815123,0.002584451,Gondia,fecal,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Hallella,Hallella sp002300055
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SR_2.20.fa,4499342,0.783960855,4.201535411,133976,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp900319515,AK_SG_10,3815123,0.017558543,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-127,CAG-127 sp900319515
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SR_4.6.fa,1053707,0.618967132,2.894814739,20935,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,AK_SG_10,3815123,0.002743686,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SR_7.1.fa,2224604,0.86071139,13.44167442,211033,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C,AK_SG_10,3815123,0.027657431,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii_C
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SR_8.21.fa,3258161,0.649745976,4.09735066,95705,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis,AK_SG_10,3815123,0.012542846,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter rectalis
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SR_9.5.fa,1851069,0.642703216,3.170770696,40989,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__ER4;s__ER4 sp000765235,AK_SG_10,3815123,0.005371911,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,ER4,ER4 sp000765235
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SW_5.29.fa,2778649,0.579703662,2.234693684,43625,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii,AK_SG_10,3815123,0.005717378,Gondia,fecal,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SW_5.30.fa,2272377,0.605575131,2.434062762,39367,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-279;s__CAG-279 sp000437795,AK_SG_10,3815123,0.005159336,Gondia,fecal,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-279,CAG-279 sp000437795
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SW_5.36.fa,3191713,0.618442197,2.724229919,62222,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365,AK_SG_10,3815123,0.008154652,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,Acetatifactor sp900066365
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SW_5.38.fa,1936983,0.801445857,6.710520741,92363,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,AK_SG_10,3815123,0.012104852,Gondia,fecal,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__AK_SW_8.9.fa,2106569,0.824934289,7.204326226,106075,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_J,AK_SG_10,3815123,0.013901911,Gondia,fecal,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii_J
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__RS1_B.1.fa,2604265,0.560978241,1.685740069,31101,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis,AK_SG_10,3815123,0.004076015,Gondia,fecal,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis
METABAT215_SUBJECTMAPPING_SCAFFOLDS_1500_MERGED_K77_METASPADES__RS5_A.23.fa,2777217,0.528663407,1.833678974,36012,s3://czbiohub-microbiome/Sonnenburg_Lab/IndianMicrobiome/alpha_analysis/quick_profile/IM_genomeSetAlpha-vs-NODUP_HMN_UNMAPPED_TRIM_MARKED_AK_SG_10_R1.fastq.gz.sorted.bam.IS/genomeCoverage.csv,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sutterella;s__Sutterella wadsworthensis,AK_SG_10,3815123,0.004719638,Gondia,fecal,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Sutterella,Sutterella wadsworthensis
